request_type,request_query,date,maxtempC,mintempC,avgtempC,uvIndex,windspeedKmph,winddirDegree,weatherDes_value,precipMM,humidity,visibility,pressure,cloudcover,HeatIndexC,DewPointC,WindChillC,WindGustKmph,FeelsLikeC,Weather
,,12/1/2008,29,20,25,7,8,94,Partly cloudy,0,82,10,1012,35,25,20,24,12,25,no
,,12/2/2008,30,21,27,6,5,286,Cloudy,0.1,80,10,1011,38,28,21,25,8,28,no
,,12/3/2008,32,22,28,7,5,262,Sunny,0,81,10,1010,10,30,23,26,7,30,no
,,12/4/2008,31,23,27,7,5,212,Partly cloudy,0,81,10,1010,38,29,23,26,8,29,no
,,12/5/2008,26,23,24,5,9,182,Light rain shower,5.4,91,9,1012,63,27,23,24,13,27,yes
,,12/6/2008,29,23,27,6,7,59,Moderate or heavy rain shower,14.8,86,9,1012,56,28,23,25,11,28,yes
,,12/7/2008,30,23,27,6,7,107,Light rain shower,5.4,83,10,1012,47,29,22,26,10,29,yes
,,12/8/2008,31,22,27,7,8,77,Sunny,0.5,78,10,1012,9,28,21,25,12,28,no
,,12/9/2008,32,21,27,7,7,161,Partly cloudy,0.1,77,10,1012,22,28,21,25,10,28,no
,,12/10/2008,31,21,27,7,4,300,Sunny,0,80,10,1012,11,29,22,26,5,29,no
,,12/11/2008,30,22,27,6,5,249,Patchy rain possible,0.3,81,10,1011,32,28,22,25,8,28,maybe
,,12/12/2008,32,23,29,6,2,194,Cloudy,0.2,80,9,1010,40,30,23,27,4,30,no
,,12/13/2008,32,24,29,6,4,230,Moderate or heavy rain shower,6.1,79,9,1011,35,31,23,27,7,31,yes
,,12/14/2008,32,23,28,6,6,122,Light rain shower,6.1,83,9,1011,32,30,23,27,8,30,yes
,,12/15/2008,31,22,27,7,5,156,Partly cloudy,0.5,77,10,1011,20,29,21,26,8,29,no
,,12/16/2008,30,22,27,7,7,193,Partly cloudy,0.1,74,10,1011,17,28,20,25,10,28,no
,,12/17/2008,30,21,27,7,6,122,Partly cloudy,0,75,10,1013,18,28,21,26,8,28,no
,,12/18/2008,32,21,28,7,5,128,Sunny,0.3,75,10,1012,17,29,21,26,7,29,no
,,12/19/2008,32,22,28,7,5,255,Sunny,0.3,75,10,1011,13,29,21,26,8,29,no
,,12/20/2008,33,21,29,7,4,171,Sunny,0,73,10,1011,10,29,21,26,7,29,no
,,12/21/2008,31,22,28,7,4,258,Partly cloudy,0,74,10,1011,25,29,21,26,6,29,no
,,12/22/2008,33,24,29,7,5,97,Partly cloudy,0.2,70,10,1011,35,30,22,28,7,30,no
,,12/23/2008,33,23,28,7,6,69,Partly cloudy,0,69,10,1011,22,30,21,27,9,30,no
,,12/24/2008,29,22,26,6,8,99,Light rain shower,1.3,77,10,1011,40,27,21,25,12,27,yes
,,12/25/2008,31,24,28,6,5,103,Moderate or heavy rain shower,13.2,79,9,1010,38,30,22,26,8,30,yes
,,12/26/2008,31,24,27,6,4,222,Moderate or heavy rain shower,13.9,86,8,1010,53,30,24,26,6,30,yes
,,12/27/2008,28,24,26,6,7,88,Light rain shower,1.6,86,9,1009,53,29,23,26,9,29,yes
,,12/28/2008,30,23,27,6,5,30,Torrential rain shower,17.1,87,7,1009,63,29,24,26,8,29,yes
,,12/29/2008,27,23,25,5,7,155,Light rain shower,5.3,92,8,1009,66,27,23,24,10,27,yes
,,12/30/2008,27,23,25,5,7,110,Moderate rain at times,7.8,91,7,1009,59,27,23,24,10,27,yes
,,12/31/2008,26,23,24,5,5,267,Moderate or heavy rain shower,41,96,7,1009,85,27,23,24,8,27,yes
,,1/1/2009,29,22,26,6,6,133,Moderate or heavy rain shower,18.5,89,7,1010,68,28,23,25,10,28,yes
,,1/2/2009,28,22,26,6,9,54,Cloudy,1.8,83,10,1011,62,27,21,24,15,27,no
,,1/3/2009,25,22,23,5,6,97,Light rain,7.2,87,8,1012,68,25,21,23,9,25,yes
,,1/4/2009,29,21,25,7,4,149,Partly cloudy,0.5,83,9,1011,40,26,21,24,6,26,no
,,1/5/2009,31,21,27,7,5,108,Partly cloudy,0,77,10,1011,29,28,21,26,7,28,no
,,1/6/2009,32,22,28,7,5,120,Partly cloudy,0.3,77,10,1011,29,29,22,26,8,29,no
,,1/7/2009,32,23,28,6,5,138,Patchy rain possible,3.8,81,10,1012,26,30,23,26,7,30,maybe
,,1/8/2009,31,22,27,7,7,75,Sunny,0,74,10,1013,14,28,20,26,10,28,no
,,1/9/2009,32,20,26,7,12,99,Sunny,0,66,10,1014,5,26,18,25,16,26,no
,,1/10/2009,28,18,24,5,11,219,Cloudy,0,66,10,1014,26,23,16,22,16,23,no
,,1/11/2009,28,18,23,6,9,295,Partly cloudy,0,69,10,1014,26,23,16,22,13,23,no
,,1/12/2009,29,19,25,6,5,204,Cloudy,0,69,10,1016,40,25,17,24,7,25,no
,,1/13/2009,29,21,25,7,10,61,Partly cloudy,0,63,10,1017,23,25,16,24,14,25,no
,,1/14/2009,30,18,25,7,9,61,Sunny,0,64,10,1017,11,24,16,23,13,24,no
,,1/15/2009,30,18,26,6,8,83,Cloudy,0,65,10,1016,20,24,16,24,11,24,no
,,1/16/2009,31,20,27,7,6,167,Sunny,0,67,10,1015,12,26,18,25,8,26,no
,,1/17/2009,35,20,29,7,6,101,Sunny,0,66,10,1014,6,28,19,26,8,28,no
,,1/18/2009,35,21,29,7,5,85,Sunny,0,68,10,1013,12,29,20,27,8,29,no
,,1/19/2009,36,22,30,8,6,219,Sunny,0,66,10,1012,4,30,20,27,9,30,no
,,1/20/2009,36,22,31,8,6,146,Sunny,0,67,9,1011,2,31,21,28,7,31,no
,,1/21/2009,36,21,30,8,5,176,Sunny,0,64,10,1011,9,30,19,27,8,30,no
,,1/22/2009,34,23,29,6,4,226,Cloudy,0,67,10,1010,27,30,20,27,6,30,no
,,1/23/2009,29,24,27,6,6,212,Cloudy,0.2,75,10,1010,44,28,21,26,8,28,no
,,1/24/2009,29,24,27,6,7,69,Cloudy,0.1,72,10,1011,63,28,21,26,10,28,no
,,1/25/2009,33,24,29,7,6,115,Partly cloudy,0,65,10,1012,40,29,20,27,9,29,no
,,1/26/2009,35,23,30,8,4,163,Partly cloudy,0,63,10,1012,26,30,20,28,6,30,no
,,1/27/2009,34,24,30,7,6,107,Sunny,0,62,10,1011,16,29,19,28,8,29,no
,,1/28/2009,34,23,30,7,6,183,Sunny,0,60,10,1011,7,29,18,28,8,29,no
,,1/29/2009,35,22,30,8,7,188,Sunny,0,60,10,1011,6,30,18,28,9,30,no
,,1/30/2009,35,22,30,8,5,242,Sunny,0,62,10,1011,8,30,19,28,7,30,no
,,1/31/2009,36,24,31,8,8,159,Sunny,0,62,10,1011,3,31,20,29,10,31,no
,,2/1/2009,35,23,30,8,7,100,Sunny,0,62,10,1012,5,30,19,28,9,30,no
,,2/2/2009,34,22,29,7,6,176,Sunny,0,58,10,1012,11,29,17,27,9,29,no
,,2/3/2009,33,23,29,6,6,221,Cloudy,0,65,10,1011,32,29,20,27,8,29,no
,,2/4/2009,33,23,30,7,7,209,Sunny,0,64,10,1011,20,30,20,28,9,30,no
,,2/5/2009,34,22,29,7,7,183,Partly cloudy,0,65,10,1011,26,29,20,27,9,29,no
,,2/6/2009,36,22,30,7,7,100,Sunny,0,55,10,1012,11,29,17,28,9,29,no
,,2/7/2009,36,22,30,8,7,171,Sunny,0,57,10,1011,15,29,18,28,10,29,no
,,2/8/2009,35,23,30,8,5,239,Sunny,0,57,10,1012,13,30,18,28,6,30,no
,,2/9/2009,35,22,30,8,6,216,Partly cloudy,0,61,10,1011,25,30,19,28,9,30,no
,,2/10/2009,32,25,28,6,5,198,Light rain shower,6,72,9,1011,71,29,21,27,7,29,yes
,,2/11/2009,27,24,25,6,4,235,Light rain shower,7.9,86,8,1010,66,27,22,25,6,27,yes
,,2/12/2009,30,23,27,6,5,202,Moderate or heavy rain shower,7.4,78,10,1009,73,29,22,26,8,29,yes
,,2/13/2009,35,23,30,7,5,168,Patchy rain possible,0.8,71,10,1008,47,31,21,28,7,31,maybe
,,2/14/2009,35,24,31,7,7,181,Patchy rain possible,2.3,69,10,1008,41,32,22,29,9,32,maybe
,,2/15/2009,28,25,26,6,6,124,Light rain shower,4.7,85,9,1009,50,29,23,26,9,29,yes
,,2/16/2009,36,24,30,7,7,144,Patchy light drizzle,1.7,72,9,1010,46,31,22,28,9,31,yes
,,2/17/2009,35,25,31,8,9,135,Partly cloudy,1.4,65,10,1010,27,32,21,29,12,32,no
,,2/18/2009,35,26,31,7,8,214,Cloudy,0.2,64,10,1009,35,32,22,29,10,32,no
,,2/19/2009,35,26,32,8,12,118,Sunny,0,60,10,1009,11,32,20,30,15,32,no
,,2/20/2009,36,26,31,7,8,112,Patchy rain possible,0.2,61,10,1011,24,32,21,30,11,32,maybe
,,2/21/2009,37,26,33,8,11,104,Sunny,0,58,10,1009,8,33,20,30,15,33,no
,,2/22/2009,37,26,32,8,9,112,Partly cloudy,0,56,10,1008,22,33,20,30,11,33,no
,,2/23/2009,34,26,31,8,7,119,Partly cloudy,0,57,10,1009,27,32,20,30,10,32,no
,,2/24/2009,37,26,32,7,9,122,Patchy rain possible,1.1,57,10,1009,15,33,20,30,12,33,maybe
,,2/25/2009,37,26,32,8,10,131,Sunny,0.4,59,10,1009,11,33,20,30,13,33,no
,,2/26/2009,35,28,32,8,10,114,Partly cloudy,0,55,10,1009,28,33,20,30,12,33,no
,,2/27/2009,33,26,29,6,9,128,Patchy light rain,3.9,65,9,1009,50,31,21,29,11,31,yes
,,2/28/2009,28,24,26,6,5,90,Moderate rain,14.6,82,8,1010,61,28,22,26,7,28,yes
,,3/1/2009,33,23,30,7,8,89,Partly cloudy,3.5,69,10,1009,30,31,21,28,12,31,no
,,3/2/2009,35,25,31,8,10,99,Partly cloudy,0,60,10,1009,17,32,20,30,14,32,no
,,3/3/2009,33,25,30,7,11,101,Partly cloudy,0,63,10,1009,31,31,21,28,15,31,no
,,3/4/2009,35,26,31,7,9,109,Light rain shower,1.2,64,10,1009,39,32,21,29,13,32,yes
,,3/5/2009,32,26,29,6,4,162,Torrential rain shower,19.5,78,8,1010,35,32,24,28,6,32,yes
,,3/6/2009,32,26,30,7,6,115,Moderate or heavy rain shower,17.1,80,9,1010,26,34,25,29,9,34,yes
,,3/7/2009,31,26,29,6,9,125,Moderate or heavy rain shower,18.4,83,9,1011,56,32,24,28,13,32,yes
,,3/8/2009,32,24,29,6,9,118,Moderate or heavy rain shower,11.6,80,9,1011,38,32,24,28,13,32,yes
,,3/9/2009,33,25,29,6,7,126,Light rain shower,5.6,75,9,1012,41,32,23,28,11,32,yes
,,3/10/2009,37,26,32,8,9,122,Sunny,0.5,62,10,1012,13,33,21,30,11,33,no
,,3/11/2009,37,26,32,8,8,126,Partly cloudy,0.2,59,10,1011,29,33,20,30,11,33,no
,,3/12/2009,36,27,32,8,8,152,Partly cloudy,0.3,60,9,1011,31,33,21,30,10,33,no
,,3/13/2009,35,27,32,8,6,142,Partly cloudy,0,56,10,1011,28,33,20,30,8,33,no
,,3/14/2009,33,27,30,7,6,105,Patchy rain possible,0.3,60,10,1012,36,31,20,29,9,31,maybe
,,3/15/2009,36,25,31,8,5,114,Partly cloudy,0.2,57,10,1011,34,31,19,29,7,31,no
,,3/16/2009,34,26,31,7,5,197,Cloudy,0.2,57,9,1010,48,32,20,30,7,32,no
,,3/17/2009,33,27,31,7,10,124,Light rain shower,2.3,61,10,1010,60,32,21,30,14,32,yes
,,3/18/2009,35,27,31,7,10,138,Patchy rain possible,2.6,64,10,1010,33,33,22,30,13,33,maybe
,,3/19/2009,34,26,31,8,9,116,Partly cloudy,0,63,10,1009,27,33,21,30,13,33,no
,,3/20/2009,36,26,32,8,12,130,Sunny,0.1,61,10,1010,13,33,21,30,16,33,no
,,3/21/2009,36,25,32,8,9,141,Partly cloudy,0,61,10,1010,21,32,21,30,12,32,no
,,3/22/2009,34,26,31,7,7,143,Light rain shower,4.3,65,10,1010,32,33,22,30,9,33,yes
,,3/23/2009,34,26,32,7,7,161,Cloudy,0,61,10,1011,34,33,21,30,10,33,no
,,3/24/2009,35,27,32,7,8,168,Cloudy,0.1,59,10,1011,43,33,21,30,10,33,no
,,3/25/2009,38,27,33,8,6,156,Partly cloudy,1.2,59,10,1011,40,34,21,31,8,34,no
,,3/26/2009,35,27,32,8,10,148,Partly cloudy,0.1,57,10,1011,26,33,20,30,13,33,no
,,3/27/2009,37,27,32,8,11,134,Sunny,0,58,10,1011,13,33,21,31,13,33,no
,,3/28/2009,35,26,32,7,6,133,Patchy rain possible,2.2,63,10,1011,36,33,22,30,8,33,maybe
,,3/29/2009,39,26,34,8,6,136,Partly cloudy,1.8,56,10,1010,19,34,20,31,7,34,no
,,3/30/2009,37,27,33,7,8,117,Light rain shower,0.7,56,10,1009,30,34,21,31,10,34,yes
,,3/31/2009,37,27,32,7,8,85,Moderate or heavy rain shower,3.8,62,10,1009,31,33,22,30,10,33,yes
,,4/1/2009,34,26,31,7,7,74,Light rain shower,5.5,65,10,1009,40,32,22,29,11,32,yes
,,4/2/2009,34,26,31,7,8,96,Torrential rain shower,11.5,67,9,1009,45,32,22,29,11,32,yes
,,4/3/2009,34,26,31,7,8,95,Torrential rain shower,16.5,72,9,1010,34,34,23,29,11,34,yes
,,4/4/2009,37,26,32,8,6,136,Partly cloudy,5.1,69,10,1010,26,34,23,30,9,34,no
,,4/5/2009,34,27,31,7,8,163,Moderate or heavy rain shower,17.5,75,9,1010,29,34,24,29,11,34,yes
,,4/6/2009,33,25,29,6,6,62,Torrential rain shower,35.4,82,7,1009,64,32,24,28,10,32,yes
,,4/7/2009,32,25,30,6,6,103,Moderate or heavy rain shower,9.3,75,9,1010,44,32,23,28,9,32,yes
,,4/8/2009,35,25,31,8,9,102,Partly cloudy,0.1,65,10,1009,38,32,22,29,13,32,no
,,4/9/2009,33,26,31,7,9,105,Light rain shower,4.9,67,10,1009,33,34,23,30,12,34,yes
,,4/10/2009,35,26,31,7,7,113,Moderate or heavy rain shower,5.3,67,9,1008,31,34,23,30,10,34,yes
,,4/11/2009,35,27,32,7,6,145,Patchy rain possible,3.8,66,9,1009,31,35,23,30,8,35,maybe
,,4/12/2009,36,27,31,7,5,181,Torrential rain shower,21.7,73,8,1009,38,35,24,30,8,35,yes
,,4/13/2009,31,26,29,6,6,152,Moderate or heavy rain shower,13,83,9,1008,35,33,25,28,8,33,yes
,,4/14/2009,33,26,30,7,5,199,Moderate or heavy rain shower,15.7,81,9,1008,30,35,25,29,7,35,yes
,,4/15/2009,33,26,30,7,4,264,Moderate or heavy rain shower,15.4,82,9,1009,26,35,25,29,6,35,yes
,,4/16/2009,33,26,30,7,7,215,Moderate or heavy rain shower,9.2,80,9,1008,31,34,25,29,10,34,yes
,,4/17/2009,34,26,32,7,7,241,Patchy rain possible,3.6,75,10,1007,19,36,25,30,9,36,maybe
,,4/18/2009,35,27,32,7,10,244,Moderate or heavy rain shower,15.4,76,9,1008,16,36,25,30,15,36,yes
,,4/19/2009,33,26,30,7,10,260,Torrential rain shower,24,83,8,1008,32,35,26,29,15,35,yes
,,4/20/2009,33,26,31,7,10,250,Moderate or heavy rain shower,10.2,79,9,1006,36,35,25,29,15,35,yes
,,4/21/2009,33,26,30,7,7,249,Moderate or heavy rain shower,15.8,83,8,1006,33,35,26,29,10,35,yes
,,4/22/2009,33,26,30,6,7,253,Torrential rain shower,19.8,83,8,1007,35,35,25,29,10,35,yes
,,4/23/2009,32,26,30,7,9,247,Moderate or heavy rain shower,13.7,83,8,1008,30,34,25,29,14,34,yes
,,4/24/2009,30,26,29,6,8,222,Torrential rain shower,38.3,88,6,1008,42,34,26,28,13,34,yes
,,4/25/2009,31,26,29,6,7,173,Moderate or heavy rain shower,20.2,86,7,1009,41,33,25,28,11,33,yes
,,4/26/2009,30,25,28,6,6,199,Torrential rain shower,44.9,90,6,1009,49,33,26,27,10,33,yes
,,4/27/2009,31,25,29,6,5,206,Torrential rain shower,22.5,86,7,1010,42,33,25,28,8,33,yes
,,4/28/2009,32,26,30,6,5,188,Moderate or heavy rain shower,9.6,81,8,1010,31,34,25,29,8,34,yes
,,4/29/2009,31,26,29,6,6,209,Moderate or heavy rain shower,14.6,85,9,1010,48,33,25,28,9,33,yes
,,4/30/2009,30,25,29,6,4,207,Torrential rain shower,19.4,88,6,1009,49,33,25,28,6,33,yes
,,5/1/2009,31,26,28,6,4,142,Torrential rain shower,30.8,89,8,1009,54,33,25,28,6,33,yes
,,5/2/2009,31,25,28,6,4,233,Moderate or heavy rain shower,18.8,88,9,1009,58,32,25,27,6,32,yes
,,5/3/2009,27,25,26,6,5,244,Heavy rain at times,28.4,93,7,1009,62,29,24,26,8,29,yes
,,5/4/2009,32,24,28,6,7,196,Patchy rain possible,4.3,85,8,1009,35,31,24,27,10,31,maybe
,,5/5/2009,30,24,28,6,4,266,Light rain shower,4.6,83,10,1009,49,31,24,27,5,31,yes
,,5/6/2009,34,25,31,7,5,216,Light rain shower,5.6,78,10,1008,43,34,24,29,7,34,yes
,,5/7/2009,31,26,29,6,5,187,Torrential rain shower,21.4,87,8,1007,43,33,26,28,8,33,yes
,,5/8/2009,32,25,29,6,5,183,Moderate or heavy rain shower,11.6,86,7,1007,40,34,25,28,7,34,yes
,,5/9/2009,30,26,29,6,7,181,Torrential rain shower,26.9,89,6,1006,41,33,26,28,11,33,yes
,,5/10/2009,30,25,28,6,7,155,Moderate or heavy rain shower,12.5,90,8,1007,56,32,25,27,10,32,yes
,,5/11/2009,30,25,28,6,7,154,Moderate or heavy rain shower,4.9,87,8,1008,49,32,25,27,9,32,yes
,,5/12/2009,31,25,29,6,6,137,Light rain shower,7,85,10,1008,36,33,25,28,9,33,yes
,,5/13/2009,32,25,29,6,8,138,Moderate or heavy rain shower,8,83,9,1007,41,33,25,28,11,33,yes
,,5/14/2009,32,25,29,6,7,128,Patchy rain possible,2.5,83,9,1007,29,33,25,28,9,33,maybe
,,5/15/2009,33,26,30,6,8,115,Moderate or heavy rain shower,6.4,83,10,1008,27,34,25,28,12,34,yes
,,5/16/2009,32,25,29,6,9,117,Moderate or heavy rain shower,7,86,9,1009,42,33,25,28,13,33,yes
,,5/17/2009,32,25,29,6,9,120,Moderate or heavy rain shower,13.2,86,8,1010,32,33,25,28,14,33,yes
,,5/18/2009,32,25,30,6,8,136,Patchy light rain with thunder,3.8,84,9,1009,25,34,25,28,11,34,yes
,,5/19/2009,32,26,30,6,5,150,Moderate or heavy rain shower,10.1,86,8,1009,33,34,26,28,7,34,yes
,,5/20/2009,30,26,29,6,6,215,Moderate or heavy rain shower,22,89,7,1008,46,34,26,28,9,34,yes
,,5/21/2009,32,26,30,6,5,232,Patchy light rain with thunder,15.2,87,9,1008,46,35,26,28,8,35,yes
,,5/22/2009,31,26,29,7,8,242,Partly cloudy,0.2,82,9,1008,39,32,24,28,11,32,no
,,5/23/2009,28,24,26,6,6,238,Moderate or heavy rain shower,19.2,91,8,1008,72,29,24,26,9,29,yes
,,5/24/2009,28,24,27,6,4,217,Patchy light drizzle,2.3,92,6,1006,49,29,24,26,6,29,yes
,,5/25/2009,27,25,26,6,6,229,Moderate or heavy rain shower,33,95,8,1007,68,30,25,26,10,30,yes
,,5/26/2009,30,25,28,6,7,218,Torrential rain shower,22.9,92,8,1007,48,32,25,27,11,32,yes
,,5/27/2009,30,25,28,6,7,207,Moderate or heavy rain shower,17.1,90,7,1007,52,32,25,27,11,32,yes
,,5/28/2009,31,25,29,6,8,212,Moderate or heavy rain shower,8.7,88,8,1008,46,32,25,27,11,32,yes
,,5/29/2009,30,26,29,6,4,216,Torrential rain shower,27.6,90,6,1009,40,33,26,28,7,33,yes
,,5/30/2009,31,26,29,6,6,230,Moderate or heavy rain shower,13.5,89,6,1009,42,33,26,28,8,33,yes
,,5/31/2009,33,26,29,6,5,322,Moderate or heavy rain shower,5.5,85,8,1009,36,34,25,28,7,34,yes
,,6/1/2009,31,25,29,6,6,259,Moderate or heavy rain shower,13.6,88,8,1008,52,34,26,28,9,34,yes
,,6/2/2009,29,25,27,6,10,234,Moderate or heavy rain shower,19.3,92,6,1008,59,32,25,27,16,32,yes
,,6/3/2009,28,25,27,6,10,233,Torrential rain shower,24.6,93,6,1008,63,30,25,26,17,30,yes
,,6/4/2009,29,24,28,6,11,233,Light rain shower,6.6,88,8,1008,48,30,24,26,16,30,yes
,,6/5/2009,31,24,29,6,8,230,Moderate or heavy rain shower,10.6,85,8,1008,26,32,25,28,12,32,yes
,,6/6/2009,31,25,29,6,7,253,Moderate or heavy rain shower,11.2,87,7,1008,37,33,25,28,11,33,yes
,,6/7/2009,32,24,30,6,9,253,Patchy rain possible,2.3,80,10,1008,18,33,24,28,13,33,maybe
,,6/8/2009,33,25,30,8,10,253,Sunny,0.1,80,10,1008,14,33,24,29,14,33,no
,,6/9/2009,30,25,29,6,9,233,Moderate or heavy rain shower,13.1,86,9,1009,40,32,25,27,13,32,yes
,,6/10/2009,30,25,28,6,8,228,Torrential rain shower,22.1,89,8,1009,61,32,25,27,13,32,yes
,,6/11/2009,30,24,28,6,7,245,Moderate or heavy rain shower,15.1,89,6,1009,39,32,25,27,11,32,yes
,,6/12/2009,34,25,31,8,8,252,Sunny,0.3,79,8,1009,14,34,25,29,12,34,no
,,6/13/2009,35,25,31,8,9,270,Sunny,1.8,76,10,1009,13,35,24,29,12,35,no
,,6/14/2009,33,26,30,6,10,244,Moderate or heavy rain shower,11,81,9,1008,30,33,25,28,14,33,yes
,,6/15/2009,30,25,28,6,9,233,Torrential rain shower,19.5,90,8,1006,43,32,25,27,13,32,yes
,,6/16/2009,29,25,27,6,9,215,Torrential rain shower,19.3,94,7,1007,65,31,25,26,13,31,yes
,,6/17/2009,29,24,28,6,8,214,Moderate or heavy rain shower,11.9,91,7,1008,56,31,25,27,12,31,yes
,,6/18/2009,30,24,28,6,6,219,Moderate or heavy rain shower,11.8,91,8,1008,60,31,25,27,9,31,yes
,,6/19/2009,29,25,28,6,8,255,Torrential rain shower,21.1,91,6,1008,43,31,25,27,12,31,yes
,,6/20/2009,31,24,29,6,8,230,Moderate or heavy rain shower,17.1,90,8,1008,40,32,25,27,11,32,yes
,,6/21/2009,30,25,28,6,9,235,Moderate or heavy rain shower,19.4,90,7,1008,33,32,25,27,13,32,yes
,,6/22/2009,30,25,28,6,7,224,Moderate or heavy rain shower,13.9,90,6,1008,36,32,25,27,11,32,yes
,,6/23/2009,31,25,29,6,6,235,Patchy light rain with thunder,7.1,88,7,1008,42,33,25,27,8,33,yes
,,6/24/2009,32,24,29,6,6,247,Moderate or heavy rain shower,5.1,88,6,1007,45,33,25,28,8,33,yes
,,6/25/2009,32,25,29,6,9,233,Moderate or heavy rain shower,13.6,88,7,1007,27,33,25,28,13,33,yes
,,6/26/2009,31,25,29,6,7,217,Moderate or heavy rain shower,15.1,89,6,1008,31,33,25,27,11,33,yes
,,6/27/2009,31,25,29,6,8,233,Moderate or heavy rain shower,16.1,89,7,1008,35,32,25,27,13,32,yes
,,6/28/2009,30,25,29,6,6,222,Moderate or heavy rain shower,18.9,90,8,1009,31,33,25,27,9,33,yes
,,6/29/2009,31,25,29,6,5,250,Moderate or heavy rain shower,7.3,88,7,1009,38,33,25,28,8,33,yes
,,6/30/2009,32,25,29,6,4,221,Moderate or heavy rain shower,11.1,87,8,1009,37,33,25,28,7,33,yes
,,7/1/2009,31,25,29,6,4,239,Patchy light rain with thunder,30.7,90,5,1010,56,33,26,27,6,33,yes
,,7/2/2009,32,24,29,6,5,191,Moderate or heavy rain shower,9.5,88,7,1009,53,32,25,27,8,32,yes
,,7/3/2009,30,25,29,6,6,229,Torrential rain shower,27.4,91,7,1008,37,33,26,27,10,33,yes
,,7/4/2009,30,25,28,6,6,215,Moderate or heavy rain shower,14.8,89,7,1009,34,32,25,27,10,32,yes
,,7/5/2009,30,24,28,6,5,189,Moderate or heavy rain shower,19.3,90,8,1010,68,31,25,27,7,31,yes
,,7/6/2009,32,25,29,6,4,232,Moderate or heavy rain shower,8.1,86,8,1010,53,32,25,27,6,32,yes
,,7/7/2009,32,26,30,6,8,279,Patchy light rain with thunder,3.8,85,9,1009,29,33,25,28,11,33,yes
,,7/8/2009,31,25,29,6,6,313,Moderate or heavy rain shower,12.8,88,9,1009,37,33,25,28,9,33,yes
,,7/9/2009,33,25,30,7,5,258,Patchy light rain with thunder,3.4,84,10,1008,34,34,25,28,8,34,yes
,,7/10/2009,32,25,30,6,8,250,Patchy light rain with thunder,5.2,86,7,1006,22,33,25,28,11,33,yes
,,7/11/2009,31,25,28,6,9,237,Moderate or heavy rain shower,17.9,90,7,1004,41,32,25,27,14,32,yes
,,7/12/2009,30,24,28,6,8,221,Moderate or heavy rain shower,17.2,92,7,1004,62,32,25,27,12,32,yes
